Smiles,dock_score
CC(C)CC(=O)NC1CCN(c2ccccc2C(=O)N2CC[NH+](C)CC2)CC1,-6.72088614534366
Cc1ccc(CNC(=O)C2CCN(C(=O)c3cc(-c4ccncc4)[nH]n3)CC2)o1,-7.38923398669228
CCC(=O)Nc1ccc(C2(C(=O)N3CCC(C)CC3)CCCCC2)cc1,-5.51399022247984
CC1CCN(c2ccc(CNC(=O)[C@@H]3OCCN(C4CC4)[C@H]3c3ccccc3)cc2)CC1,-8.15127560109074
O=C(CSC1=Nc2ccccc2N=C(c2ccc(Cl)cc2)C1)NCCC1=CCCCC1,-9.35120885948003
COCCc1nnc2n1CCC1(CC2)CCN(C(=O)NCCC(C)C)CC1,-7.47616367616768
O=C(NC1CCN(c2ccccc2C(=O)N2CC[NH+](C3CCCC3)CC2)CC1)c1cccc(F)c1,-6.55349050608936
CCn1ccc(C(=O)N2CCC(F)(C(=O)NC3CC3)CC2)n1,-5.58266723500022
COCc1nc(CCNC(=O)C2CCCC2)no1,-6.17429126810147
O=c1c(Nc2ccc(Cl)cc2)c(-c2ccc3c(c2)CCCC3)c1=O,-9.00229084030651
COc1ccccc1NC(=O)c1cnc(N2CCCC2)nc1C,-6.714040283977
Cc1cc(C(=O)N[C@@H](C)CCc2ccccc2)c2cnn(C(C)C)c2n1,-7.53583637645867
O=C(NCC[NH+]1CCCCC1)C1CCN(c2ccc(-c3cccc(F)c3)nn2)CC1,-9.83142890736422
O=C(NC1CCCC1)C1CCN(C(=O)[C@H]2CC(=O)N(c3ccccc3)C2)CC1,-8.14156858722071
O=C([O-])[C@@H]1C[N@H+](Cc2ccccc2)C[C@@H]1C(=O)NCc1ccc(F)cc1,-7.84439782571111
Cc1cccc([NH+]2CCN(C(=O)c3csc(C(=O)NC4CC4)n3)CC2)c1C,-9.03414742532678
O=C(NCc1ccc(-c2ncc(-c3ccc(F)cc3)[nH]2)cc1)C1=Cc2cc(Cl)ccc2OC1,-9.67458669542524
O=C(NCc1ccc(F)cc1F)C1CCN(c2cncnc2N2CCCCC2)CC1,-8.21944313667755
CCCCCNC(=O)c1ccc2c(c1)NC(=O)CS2,-6.21442040660166
CCNC(=O)N1CCCC[C@@H]1c1nc(CCOCC2CC2)no1,-8.41458379138285
O=C(C[C@H]1COc2cc(F)ccc2N1Cc1ccccc1)NCCC[NH+]1CCCCC1,-8.65493032393388
COc1ccc(-c2noc(CCCC(=O)NC(C)(C)C)n2)cc1,-7.02662558905659
Cc1noc(C)c1CC(=O)NCCN(C(=O)N(C)C)C1CCOCC1,-8.03059263130146
CC(C)(C)C(=O)Nc1ccc(N2CCCN(C(=O)c3cccc(Br)c3)CC2)nc1,-6.38344442841289
Cc1cccc(-c2cc(Nc3ccc(C(=O)Nc4cc(F)cc(F)c4)cc3)ncn2)c1,-8.50216106877004
O=C(Cn1c(=O)cc(C(=O)N2CCCCC2)c2ccccc21)NC1CCCC1,-5.2980337842395
O=C(Nc1ccc(F)cc1F)N1CC[NH+](Cc2nc3ccc(Cl)cc3o2)CC1,-8.51002897673061
CCCNC(=O)N1CCC(c2nc(C3CCOCC3)no2)CC1,-7.41634346190583
O=C(CCc1ccc(CC2CCN(C(=O)Nc3ccccc3F)CC2)cc1)NCC1CC1,-9.6500050004308
CCNC(=O)N1CCC([N@H+]2C[C@@H](OCC3CC3)C23CCCCC3)CC1,-6.90090060795984
O=C(CCc1nc2ccccc2[nH]1)N1CCC2(CC[C@@H]2O)CC1,-7.36769190049331
O=C(CC1CCCC1)N1CCC(N2C(=O)[C@H](O)C23CCCCC3)CC1,-8.50194612414187
O=C(NC1CCCC1)[C@@H]1CCc2sc(C(=O)N3CCCC3)cc2C1,-7.73958485007471
C[C@H](NC(=O)C1CCC1)C(=O)N1CCN(c2ccccn2)CC1,-6.11963758220434
O=C(Nc1ccc(-c2nnc3n2CCCC3)cc1)C1CCC1,-7.05248769705385
OC1(C[NH+]2CCCC2)CCC2(CC[NH2+]CC2)CC1,-6.26973524189319
Cc1ccc(-c2nc(C[S@@](=O)CC(=O)NCCC3=CCCCC3)c(C)o2)cc1,-8.48517436168232
CC(C)CNC(=O)[C@@H]1Cc2[nH]cnc2C2(CCN(Cc3cc(F)cc(F)c3)CC2)[NH2+]1,-6.77920527694082
Cc1ncc(CO)c(C2CCN(C(=O)CCC3CCCC3)CC2)n1,-7.6501509612039
CC(=O)N[C@H]1C[C@H]2CN(C(=O)c3cc(C)n(C)n3)[C@@H](CC(C)C)C(=O)N2C1,-6.26181123928479
Cc1ccc(C(=O)N2CCC(CC(=O)NCC[N@H+](C)C3CCCCC3)CC2)cc1,-9.61981670427151
COCCNC(=O)[C@@H](NC(=O)c1ccc(F)cc1)C1CCN(C(=O)NC(C)(C)C)CC1,-7.47677207910525
CC[C@H](C)[N@@H+](CCNC(=O)C1CCN(C(=O)c2cc3sccc3n2C)CC1)C1CCCCC1,-7.01099655234518
O=C(NC[C@H]1C[C@H]2C=C[C@@H]1C2)[C@@H]1CCCN(c2ncccn2)C1,-7.34608529695812
CCC(CC)C(=O)NCc1csc(-c2ccccc2)n1,-7.52528637845603
Cc1noc([C@@H]2CN(C(=O)CCc3ccccc3)C[C@H]2CO)n1,-9.14340336333488
O=C(CCc1ccc(CC2CCN(C(=O)c3ccsc3)CC2)cc1)NC1CC1,-8.03471900418613
COCCN1C(=O)CC[C@@H](C(=O)NCc2ccc(OC(F)(F)F)cc2)[C@H]1C,-7.61794083803208
O=C(N1CCC2(CC[C@@H]2O)CC1)C1(c2ccccc2)CC1,-6.86909460561252
Cc1noc(C)c1[C@@H]1CCCN1C(=O)NC1CCCCC1,-6.29785534210957
CNC(=O)CCc1ccc(CC2CCN(C(=O)c3ccoc3)CC2)cc1,-8.25408650959207
O=C(NCCN1CC[C@@H](N2CCOCC2)C1=O)c1cc(F)ccc1F,-8.17742687641689
CN(C)c1ccc(NC(=O)C2CCCC2)cc1CN(C(=O)C(C)(C)C)C1CCCCC1,-6.33429719299495
CC(C)(C)c1ccc([C@H](CC(=O)[O-])NC(=O)CSc2ccccc2)cc1,-7.27485367453489
CC(C)(Oc1ccc(Br)cc1)C(=O)[O-],-5.1053654719402
COc1ccc(NC(=O)c2ccc3c(SCC(=O)[O-])c4c(nc3c2)CCCC4)cc1Cl,-7.54499399465009
COc1ccc(OC)c(-c2c[nH]c(-c3ccc(CNC(=O)c4ccc(C(F)(F)F)c(F)c4)cc3)n2)c1,-8.52071246956156
C[C@H]1CCc2c(sc3c2CSC(C(=O)NCCN2CCN(c4cccc(Cl)c4)CC2)=C3)C1,-8.69123495111741
CCCCNc1c(C(=O)OC)c(=O)[nH]c2c(Cl)cccc12,-6.62205384150914
CC(C)CCNC(=O)[C@H]1c2c(n(C)c3ccccc23)SCC(=O)N1Cc1ccc(Cl)cc1,-6.84333798649075
O=C(NCCC[NH+]1CCOCC1)NC1(c2ccccc2)CC1,-7.59782382057066
COCCN1C(=O)CC[C@@H](C(=O)NCCCc2ccccc2)[C@H]1C,-6.49717488158114
O=C(NCC[N@H+](C1CCOCC1)C1CCN(C(=O)C2CC2)CC1)c1ncccc1F,-7.06631162232083
O=C(O)C[C@@H]1CCCCN(Cc2ccccc2)C1=O,-6.79656489427654
Cc1ccccc1CNC(=O)c1cccc(CN2C(=O)[C@H]3CCCN3C(=O)c3ccccc32)c1,-9.112145951209
O=C(Nc1ccccc1)N(CC[NH+]1CCCCC1)C1CCOCC1,-5.68261210033193
CCCCNC(=O)c1ccc2c(c1)c(C)c(C)n2C,-7.20732197249882
Cc1cnn(Cc2nc(-c3ccc(NC(=O)c4ccc(F)cc4F)cc3)oc2C)c1,-8.60522850476635
CC[NH+]1CCN(CCNC(=O)c2cccc3c2CCN3C(=O)Nc2ccc(C)cc2)CC1,-8.13282725914841
CNC(=O)N1CCC([C@H]2CCN(C(=O)CCc3ccc(OC)cc3)C2)CC1,-7.91939027929455
Cc1cccc(-c2cc(N3CCN(C(=O)NC4CCCCC4)CC3)ncn2)c1,-8.21750541902311
O=C(NCc1cccc(Br)c1)c1ccc2c(c1)CCN2C(=O)C1CC1,-8.72415291969197
C[C@@]1(O)CCN(Cc2ccccc2F)C[C@H]1[NH+]1CCCC1,-6.55716422230902
CCCOc1nc2ccccc2nc1N1CCC[C@H](C(=O)NC2CC2)C1,-6.73165422130028
Cn1nc(C(=O)Nc2cccc(F)c2)c2c1CCN(C(=O)CCC(=O)NC1CCCCC1)C2,-9.99704294753669
Cc1cc(C(=O)N2CCC3(CC2)C[C@H]3NC(=O)c2ccncc2)no1,-7.41967177760209
O=C(NC[C@@H]1CCCO1)c1ccc2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc2c1,-7.72883032871855
O=C(Nc1cccc(Br)c1)[C@H]1[C@H]2[C@H]3CC[C@H](C3)[C@@H]12,-6.65554683731848
Cc1ccc(CNC(=O)N2CCC[C@H](c3nc(CCOCC4CCCC4)no3)C2)cc1,-9.78530619009183
CC(C)CCS(=O)(=O)c1ccccc1C(=O)NC(C)(C)C,-6.47539572035455
CCN1CCN(c2ncnc(-c3cc(C)cc(C)c3)c2N)CC1,-5.98315338275228
O=C1CCN(C(=O)C2CCN(C(=O)CC3CCCC3)CC2)CCCCCCN1,-7.49875158340112
Cc1cnc(-c2cccnc2)n1C1CCN(C(=O)NC2CCCCC2)CC1,-8.19065142948504
Cc1cc(C)cc(C[C@@H](C(=O)[O-])[C@@H](C)C(=O)Nc2cccc(C(F)(F)F)c2)c1,-8.67997592406274
COCCN1CCN2C(=O)[C@H](C)N(C(=O)c3cc(C4CC4)[nH]n3)C[C@H]2C1=O,-5.66375905635826
Cc1ccc(N2CC[C@H](NC(=O)Nc3ccc(C)cc3C)C2=O)cc1,-9.01425641828739
O=C1CCN(C(=O)C2CCOCC2)CCC[C@H](C(=O)NCc2ccccc2)CCN1,-5.91988479666221
COc1ccc(C2(C(=O)NCCN(C(=O)C3CC3)C3CCOCC3)CC2)cc1,-8.28459175851423
COCCC1(C(N)=O)CCN(C(=O)Cc2ccncc2)CC1,-7.27794629753262
O=S1(=O)C[C@H](NC2CC2)[C@@H](S(=O)(=O)c2ccc(Cl)cc2)C1,-4.55438444717426
O=C(c1cccc2[nH]ccc12)N1CC(Oc2cccc(-c3nc(-c4ccccc4)no3)c2)C1,-4.89233996524154
CC(=O)N1CCC(C[N@@H+]2CCn3cc(C(=O)NCc4ccccc4)nc3[C@@H]2c2ccccc2)CC1,-7.551442212589
Cc1ccc(NC(=O)NCc2c(C)nn(C)c2C)cc1C,-5.59422125283054
C[NH+](C)[C@@H]1CCN(CCNC(=O)c2cc(F)ccc2F)C1=O,-9.34472965564696
O=C(NCc1ccccc1)c1ccc(Cl)cc1F,-7.3961031560972
COc1ccc(NC(=O)Nc2cccc(-c3nccnc3N3CCCC3)c2)c(C)c1,-7.44004170641291
O=C(Nc1ccc(F)cc1)c1ccc(Nc2ccnc(-c3cccc(F)c3)n2)cc1,-9.44892501816793
O=C(NC1CCCCC1)c1ccc2c(=O)[n-]c3c(-c4cccc(C(F)(F)F)c4)nnn3c2c1,-6.95190335834954
CCNC(=O)N1C[C@@H](C(=O)N2CC[NH+](C)CC2)[C@H](c2cccc(C(F)(F)F)c2)C1,-8.76073137086181
CC(C)NC(=O)[C@@H]1CC2(CN(C(=O)C3(c4ccccc4)CC3)C2)C[N@H+]1C,-7.8038931414385
Cc1ccc(OCC(=O)Nc2nc3c(s2)C[C@@H](C)CC3)cc1C,-6.96323853875043
Cc1cc(NC(=O)CN2C(=O)[C@H]3[C@H]4C=C[C@H](C4)[C@H]3C2=O)ccc1Br,-6.59355095705086
Cc1cnc(C2CC2)n1CCC1CCN(C(=O)CCc2c[nH]c3ccccc23)CC1,-6.78010143958876
CN1C(=O)Cc2ccccc2[C@H]1C(=O)NC1CCCC1,-7.27108923461096
O=C(N[C@@H]1CC12CCN(C(=O)C[NH+]1CCCCCC1)CC2)c1ccncc1,-6.73766480175576
C[C@H]1CCCN(c2nc(C(=O)NC3CC3)cs2)C1,-4.80523723559028
O=C(Nc1ccc(N2CC[NH+](CC(=O)N3CCCCC3)CC2)cc1C(=O)[O-])c1ccccc1F,-5.2898814438565
C[NH+]1CCN([C@H]2CCN(CCNC(=O)c3ccco3)C2=O)CC1,-6.33854836622733
CC(C)(C)c1ccc(Cn2c(C(N)=O)cc3cc(NC(=O)COc4ccc(Cl)cc4)ccc32)cc1,-7.78117397079002
Cc1ccc([C@H]2CC(=O)NC(NC(=O)c3ccc(C(C)(C)C)cc3)=N2)cc1,-8.15913495946856
C[NH+](C)CCCNC(=O)C(=O)NCc1n[nH]c(=O)c2ccccc12,-7.84852219407926
CC(=O)Nc1cc(C(=O)NCCC[NH+]2CCC(C)CC2)ccc1S(=O)(=O)c1ccc(Cl)cc1,-9.03832281270698
CC(C)CCNC(=O)N1CCC2(CC1)C[N@H+](C(C)C)[C@@H]2c1ccccc1,-6.09805024792297
CCCOc1ccccc1C(=O)NC[C@@H](c1ccc(Cl)cc1)N1CC[NH+](C)CC1,-5.35442668370056
CC1=C(C(=O)Nc2ccc(C(C)C)cc2)C2(CCCCC2)OC1=O,-6.93819548001362
O=C(NC1CCCCC1)N1CCC(F)(C(=O)N2CCCC2)CC1,-7.37845699838306
CC1=C(C(=O)OCC2CCCCC2)[C@@H](c2cccc(F)c2F)CC(=O)N1,-7.66374269358132
CCC(=O)Nc1nc2ccc(CC(=O)N[C@@H](C)CCc3ccccc3)cc2s1,-8.87254243592954
COCC[C@]1(C(N)=O)CCCN(C(=O)CCn2nc(C)cc2C)C1,-6.48346853596534
CN1C(=O)CC[C@@]2(CNC(=O)CCc3nc(-c4ccccc4)no3)CCC=C12,-10.0661270747844
CCN1CCOC(=O)[C@@H]1CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,-8.51066623734321
Cc1noc([C@@H]2C[N@H+](Cc3ccc(F)c(Cl)c3)C[C@H]2CO)n1,-7.24208330955733
Cc1cc2c(s1)CCc1cc(C(=O)NCCN3CCOCC3)sc1-2,-7.97780805084017
Cc1cnn(CCC(=O)N[C@@H]2C[N@H+](C)C[C@H]2C[NH+](C)C)c1,-6.66137066312634
O=C(c1cc(-c2ccc(Cl)cc2)[nH]n1)N1CC[NH+](CCc2ccncc2)CC1,-6.49520333402097
CC(=O)N[C@@H]1CN(C(=O)CCc2[nH]c3ccccc3[nH+]2)C[C@H]1CO,-5.59758934638566
